,Sentiment,Text
458,neutral,jezziegoldz club virgin is bumping in new york
459,positive,jezziegoldz would have been a rough trip but luckily we were on a virginamerica flight weather
460,neutral,is that thestarter
461,neutral,please come to minneapolis st paul
463,positive,another perfect flight how come on your planes the sun visors can stay down other carriers make you raise them
464,positive,nice rt virginamerica the man of steel might be faster but we have wifi just saying sciencebehindtheexperience
465,positive,i love the dancing little richard cool beans
466,positive,i don t use passbook i still love you though lt 3 i ll just use my email in the future
467,positive,thanks for the free birthday points y all are all right with me
468,neutral,do you have an application for ios was looking and only saw virgin mexico lt 3
469,negative,man of steel flies to more cities though and with more frequency too
470,positive,thanks so much for sharing just added it to my site
471,neutral,good point
472,neutral,virginamerica i heard he has a virgin mobile hotspot
473,neutral,you got cheese plate flights too
474,neutral,on all your flights
475,positive,dad on segway is the best part of this whole infographic
476,positive,are there any plans for a short haul airline in europe would defiantly fly with you guys
477,positive,wifi and better seating
478,neutral,how come abc is the only one of the network channels you don t have
479,negative,started my flight with a scolding for using an overhead bin that was then offered to the person seated next to me
480,positive,virginamerica not only was it great but you return my calls the day after couldn t ask for more myvxexperience
481,negative,while other airlines weren t cancelled flighting flights into bos and helping their customers get home virgin was saying good luck
482,neutral,dear virgin customer while you re stranded in sf for 3 days amp 1000cost we ll do the very least we can to accommodate you
483,neutral,should use this in their next airline commercial lol
484,negative,grouping virgin in with the others now bos weather has exposed their actual cus serv model never flight booking problems with virgin again
485,negative,as one of the travelers affected by the boston storm i m shocked at virgin s complete apathy toward their customers
486,negative,umm so no reason as to why this is is there someone different i should contact or contact me to get a definitive answer
487,negative,trying to make the change in advance not just 24 hours prior tried it online earlier and it wanted 300 in change fees
489,neutral,any way to change from main cabin to main cabin select on same flight without paying a change fee penalty
490,positive,you guys are perfect as always lt 3 wervirgin
491,positive,thanks y all have some of the best customer service left in the industry
492,neutral,can you give me silver status for 12 months
493,positive,really wish you d fly out of fargo fargoairport those fares are amazings
494,negative,mood lighting on point reclining my seat kickin up my feet
496,negative,my group got their cancelled flightlation fees waived but i can t because my ticket is booked for 2 18 your reps were no help either
497,neutral,are there any sign up bonuses to enroll in elevate
498,positive,just got on the 1pm in newark home to la your folks at ewr are incredible letsgohome
499,neutral,morning if i have a question regarding elevate points amp flights can i dm you
500,neutral,still waiting to see starryeyes dev
501,neutral,was wondering if you guys recieved my dm and we re able to potentially respond asap
502,positive,flying lax to sfo and after looking at the awesome movie lineup i actually wish i was on a long haul
